# Vo=11 m/s  pitch=0 deg   omega=0.9253 rad/s
#    r [m]   pn [kN/m]  pt [kN/m]
    2.8000    0.1884   -0.0423
   11.0027    0.4165   -0.1041
   16.8710    0.7449    0.0866
   22.9641    2.3631    0.6542
   32.3076    4.5777    1.0045
   41.5730    5.6070    1.0072
   50.4111    6.9125    1.0054
   58.5344    8.1661    1.0011
   65.7501    9.1591    0.9903
   71.9675    9.7851    0.9676
   77.1860   10.0753    0.9229
   78.7133   10.1064    0.9012
   80.1402   10.0961    0.8750
   82.7085    9.8758    0.8057
   84.9252    9.2915    0.7069
   86.8265    8.1705    0.5644
   88.4487    5.8602    0.3285
   89.1660         0         0
