# Vo=6m/s, pitch=0.896 deg, omega=0.6283 rad/s
#    r [m]   pn [kN/m]  pt [kN/m]
    2.8000    0.0566   -0.0158
   11.0027    0.1286   -0.0597
   16.8710    0.1966    0.0001
   22.9641    0.9556    0.2243
   32.3076    1.3721    0.2334
   41.5730    1.6852    0.2317
   50.4111    2.1426    0.2304
   58.5344    2.6265    0.2281
   65.7501    3.0432    0.2244
   71.9675    3.3438    0.2211
   77.1860    3.5317    0.2153
   78.7133    3.5700    0.2119
   80.1402    3.5924    0.2072
   82.7085    3.5615    0.1935
   84.9252    3.3894    0.1717
   86.8265    3.0075    0.1374
   88.4487    2.1733    0.0779
   89.1660         0         0
